Статья УК;Количество;Присоедено (16=СЕ);Возбуждено (16=УД);Отказано (16=отказано);По пп 1, 2 ч. ст 24 (18=1|2);По пп 3 ч. ст 24 (18=3);По пп 4 ч. ст 24 (18=4);Передано в суд (16=под-ти|пор-ти);16=по под-ти;16=по пор-ти;Выезд (15=15|да|в др. суб.);Выезд 3-10 сут (19= <=10);Выезд больше 10 сут (19= >10)
109;3;0;2;1;1;0;0;0;0;0;1;2;1;
105;40;1;1;37;36;0;0;0;0;0;24;33;6;
116;12;0;0;0;0;0;0;12;12;0;0;12;0;
238;6;1;1;4;4;0;0;0;0;0;0;4;1;
135;1;0;0;0;0;0;0;1;0;1;0;1;0;
282;1;0;1;0;0;0;0;0;0;0;0;1;0;
139;1;0;0;1;1;0;0;0;0;0;0;1;0;
291;1;0;1;0;0;0;0;0;0;0;0;0;1;
303;3;0;1;1;1;0;0;1;0;1;0;3;0;
286;17;0;0;16;16;0;0;1;0;1;0;12;5;
292;2;0;0;1;1;0;0;1;1;0;0;0;2;
330;1;0;0;0;0;0;0;1;1;0;0;1;0;
160;1;0;0;0;0;0;0;1;1;0;0;0;1;
292.1;2;0;0;2;2;0;0;0;0;0;0;2;0;
133;1;0;0;1;1;0;0;0;0;0;0;0;1;
166;1;0;1;0;0;0;0;0;0;0;0;1;0;
110;6;1;0;5;4;1;0;0;0;0;3;5;0;
143;5;0;0;5;5;0;0;0;0;0;0;1;4;
318;1;0;1;0;0;0;0;0;0;0;0;1;0;
167;1;0;1;0;0;0;0;0;0;0;0;1;0;
293;1;0;0;1;1;0;0;0;0;0;1;0;1;
131;1;0;0;1;1;0;0;0;0;0;0;0;1;
115;2;0;0;0;0;0;0;2;2;0;0;2;0;
ч. 3 ст. 30, ч. 1 ст.105;1;0;1;0;0;0;0;0;0;0;0;1;0;
159;4;0;0;0;0;0;0;4;3;1;0;4;0;
286 ч.3;1;0;0;1;1;0;0;0;0;0;0;1;0;
216;1;0;0;1;1;0;0;0;0;0;0;0;1;
128.1;1;0;0;1;1;0;0;0;0;0;0;0;1;
171.2;1;0;0;1;1;0;0;0;0;0;0;0;1;
319;2;0;1;1;1;0;0;0;0;0;0;2;0;
134;2;0;1;1;1;0;0;0;0;0;0;2;0;
246;1;0;1;0;0;0;0;0;0;0;1;0;1;
228;2;0;0;0;0;0;0;2;2;0;0;2;0;
121;1;0;0;0;0;0;0;1;1;0;0;1;0;
